,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,image,trending,github_release_downloads,monthly_downloads,updated_github_id
10,Annotated Text,https://github.com/tvst/st-annotated-text,tvst/st-annotated-text,extension,True,https://github.com/tvst/st-annotated-text,Apache-2.0,2020-08-02 21:15:25,2023-09-07 17:57:50,2023-09-07 17:55:55,38.0,12.0,18.0,477.0,2023-09-07 17:57:50,4.0.1,1.0,A simple component to display annotated text in Streamlit apps.,3037.0,3037.0,6.0,17,2,43.0,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f47a38cd2fa4ae6e089154c_annotated-text.jpg,,,,
11,Cheat Sheet,https://share.streamlit.io/daniellewisdl/streamlit-cheat-sheet/master/app.py,daniellewisDL/streamlit-cheat-sheet,non-ml,True,https://github.com/daniellewisDL/streamlit-cheat-sheet,MIT,2020-08-14 04:58:15,2023-08-20 23:05:46,2023-08-20 23:05:46,453.0,5.0,3.0,434.0,,,,A cheat sheet for streamlit.,,,5.0,12,1,88.0,https://github.com/daniellewisDL/streamlit-cheat-sheet/raw/master/streamlit-cheat-sheet.png,,,,
12,FastAPI Model Serving,https://github.com/davidefiocco/streamlit-fastapi-model-serving,davidefiocco/streamlit-fastapi-model-serving,ml,True,https://github.com/davidefiocco/streamlit-fastapi-model-serving,MIT,2020-06-20 18:57:39,2024-02-12 12:31:46,2024-01-18 22:14:29,87.0,3.0,6.0,429.0,,,,Simple web app example serving a PyTorch model using streamlit and FastAPI.,,,4.0,10,3,,https://davidefiocco.github.io/images/2020-06-27-streamlit.png,-2.0,,,
13,Folium,https://share.streamlit.io/randyzwitch/streamlit-folium/examples/streamlit_app.py,randyzwitch/streamlit-folium,extension,True,https://github.com/randyzwitch/streamlit-folium,MIT,2020-07-17 16:13:51,2024-05-07 14:18:44,2024-05-07 14:18:43,149.0,14.0,76.0,417.0,2024-04-25 16:31:34,0.20.0,47.0,Streamlit Component for rendering Folium maps.,,,13.0,16,2,140.0,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f1f0d5c15373567513a6b42_streamlit_folium_example.jpg,,,,
14,Agraph,https://github.com/ChrisChross/streamlit-agraph,ChrisChross/streamlit-agraph,extension,True,https://github.com/ChrisDelClea/streamlit-agraph,MIT,2020-10-28 23:36:42,2024-05-09 18:47:48,2024-05-09 18:47:48,46.0,18.0,33.0,345.0,,,,A Streamlit Graph Vis.,375.0,375.0,7.0,16,2,69.0,https://github.com/ChrisChross/streamlit-agraph/raw/master/imgs/example2.png,,,,ChrisDelClea/streamlit-agraph
15,Pandas Profiling,https://github.com/okld/streamlit-pandas-profiling,okld/streamlit-pandas-profiling,extension,True,https://github.com/okld/streamlit-pandas-profiling,MIT,2020-06-27 17:22:56,2024-03-04 14:55:03,2021-12-07 19:20:16,34.0,5.0,17.0,306.0,,,,Pandas profiling component for Streamlit.,,,2.0,10,3,,https://raw.githubusercontent.com/okld/streamlit-pandas-profiling/master/examples/streamlit_pandas_profiling_demo.gif,,,,
16,Uber Pickups in NYC,https://share.streamlit.io/streamlit/demo-uber-nyc-pickups/,streamlit/demo-uber-nyc-pickups,demo,True,https://github.com/streamlit/demo-uber-nyc-pickups,Apache-2.0,2019-09-18 18:00:32,2024-02-22 21:41:26,2023-03-13 14:08:06,324.0,3.0,11.0,299.0,,,,A Streamlit demo to interactively visualize Uber pickups in New York City.,,,18.0,11,3,,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed15d215b6f4928a0997155_5e1115200227d0333277addb_uber_website_large.gif,,,,
17,Insight,https://github.com/abhimishra91/insight,abhimishra91/insight,nlp,True,https://github.com/abhimishra91/insight,GPL-3.0,2020-07-07 07:26:08,2023-02-14 21:37:17,2021-06-15 04:34:46,43.0,4.0,4.0,298.0,,,,Repository for Project Insight: NLP as a Service.,,,2.0,9,2,128.0,https://github.com/abhimishra91/insight/raw/master/meta/streamlit-NLPfiy.gif,,,,
18,Face-GAN Explorer,https://share.streamlit.io/streamlit/demo-face-gan/,streamlit/demo-face-gan,demo,True,https://github.com/streamlit/demo-face-gan,Apache-2.0,2020-02-03 17:15:17,2023-04-21 20:52:37,2023-03-21 17:03:02,164.0,4.0,28.0,294.0,,,,A demonstration of using a live Tensorflow session to create an interactive face-GAN explorer.,,,14.0,12,2,87.0,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed14fdf59392828954fa44d_5e11152b0227d05a0277ae20_gan_website_large.gif,,,,
19,chime soundboard,http://chime-soundboard.herokuapp.com/,MaxHalford/chime,audio,True,https://github.com/MaxHalford/chime,MIT,2020-10-04 17:34:48,2023-03-06 22:25:50,2023-03-06 22:25:49,12.0,3.0,11.0,290.0,,,,Python sound notifications made easy.,159.0,159.0,6.0,12,1,,,,,,
20,Analytics,https://github.com/jrieke/streamlit-analytics,jrieke/streamlit-analytics,extension,True,https://github.com/jrieke/streamlit-analytics,MIT,2021-01-03 20:57:54,2024-03-30 07:57:48,2022-10-26 15:23:53,40.0,16.0,15.0,245.0,,,,Track & visualize user interactions with your streamlit app.,397.0,397.0,5.0,15,3,,https://github.com/jrieke/streamlit-analytics/raw/main/images/example.png,,,,
21,Ace,https://share.streamlit.io/okld/streamlit-ace/demo/,okld/streamlit-ace,extension,True,https://github.com/okld/streamlit-ace,MIT,2020-06-20 19:35:29,2023-12-16 22:02:14,2021-12-07 19:05:33,31.0,10.0,15.0,227.0,,,2.0,Ace editor component for Streamlit.,,,4.0,11,3,,https://raw.githubusercontent.com/okld/streamlit-ace/master/demo/streamlit_ace_demo.gif,,11.0,0.0,
22,MQTT Camera Streamer,https://github.com/robmarkcole/mqtt-camera-streamer,robmarkcole/mqtt-camera-streamer,cv,True,https://github.com/robmarkcole/mqtt-camera-streamer,GPL-3.0,2019-07-21 03:48:41,2024-01-12 17:48:24,2023-08-02 09:49:01,53.0,13.0,14.0,226.0,2021-04-18 08:53:52,0.8,8.0,"Stream images from a connected camera over MQTT, view using Streamlit, record to file and sqlite.",,,2.0,10,2,83.0,https://github.com/robmarkcole/mqtt-camera-streamer/raw/master/docs/images/viewer_usage.png,-1.0,,,
23,net2net,https://github.com/CompVis/net2net,CompVis/net2net,cv,True,https://github.com/CompVis/net2net,,2020-10-21 13:07:40,2022-12-20 12:11:14,2021-04-20 07:27:09,20.0,6.0,2.0,219.0,,,,Network-to-Network Translation with Conditional Invertible Neural Networks.,,,2.0,7,2,46.0,,,,,
24,Moseca,https://huggingface.co/spaces/fabiogra/moseca,fabiogra/moseca,audio,True,https://github.com/fabiogra/moseca,MIT,2023-02-27 21:47:25,2024-03-19 09:39:39,2023-09-23 08:18:12,22.0,3.0,4.0,206.0,2023-07-02 16:50:50,1.0.0,1.0,A Streamilt web app for music source separation & karaoke.,,,4.0,12,1,20.0,https://camo.githubusercontent.com/10a08c28d2d0588ab5a678a685e2b6479021785e90bbbe359d95800e22899d5a/68747470733a2f2f692e696d6775722e636f6d2f516f53643346672e676966,2.0,,,
25,ContainDS Dashboards,https://github.com/ideonate/cdsdashboards,ideonate/cdsdashboards,extension,True,https://github.com/ideonate/cdsdashboards,,2020-04-28 13:51:31,2024-04-10 13:45:27,2024-04-10 13:45:27,38.0,35.0,59.0,199.0,,,,JupyterHub extension for ContainDS Dashboards.,,,14.0,11,3,468.0,https://github.com/ideonate/cdsdashboards/raw/master/docs/_static/screenshots/AppCollage.png,,,,
26,Intent Example Finder,https://share.streamlit.io/rasahq/nlu-training-data/main,RasaHQ/NLU-training-data,nlp,True,https://github.com/RasaHQ/NLU-training-data,Apache-2.0,2019-10-30 13:48:33,2024-01-12 17:38:57,2021-08-16 07:32:35,120.0,3.0,17.0,191.0,,,,Crowd sourced training data for Rasa NLU models.,,,34.0,11,1,,https://github.com/RasaHQ/NLU-training-data/raw/main/dashboard.png,,,,
27,Graph App Kit,https://github.com/graphistry/graph-app-kit,graphistry/graph-app-kit,ml,True,https://github.com/graphistry/graph-app-kit,BSD-3-Clause,2020-08-18 22:02:45,2024-05-17 17:29:13,2024-04-08 21:33:18,19.0,29.0,17.0,176.0,,,,Go from graph data to a secure and interactive visual graph app in 15 minutes. Batteries-included self-hosting of..,,,11.0,12,1,408.0,https://user-images.githubusercontent.com/4249447/92298596-8e518600-eeff-11ea-8276-069281a4af93.png,,,,
28,Cropper,https://github.com/turner-anderson/streamlit-cropper,turner-anderson/streamlit-cropper,extension,True,https://github.com/turner-anderson/streamlit-cropper,MIT,2020-08-22 19:47:57,2024-05-07 08:17:49,2023-10-05 06:46:45,25.0,6.0,17.0,172.0,2023-10-05 06:43:51,0.2.2,2.0,A simple image cropper for Streamlit.,263.0,263.0,4.0,18,1,32.0,https://github.com/turner-anderson/streamlit-cropper/raw/master/img/demo.gif,4.0,,,
29,3dmol,https://github.com/napoles-uach/streamlit_3dmol,napoles-uach/streamlit_3dmol,extension,True,https://github.com/napoles-uach/stmol,MIT,2020-07-29 19:00:23,2023-12-06 15:50:28,2023-12-06 15:50:28,28.0,6.0,11.0,169.0,,,,This project aims to provide an easy way to create a web app for interacting with molecular structures using Streamlit.,347.0,347.0,7.0,16,2,160.0,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f341f27935a5c69dd31edff_stmol_image.jpg,2.0,,,napoles-uach/stmol
30,Lottie,https://share.streamlit.io/andfanilo/streamlit-lottie-demo/master/app.py,andfanilo/streamlit-lottie,extension,True,https://github.com/andfanilo/streamlit-lottie,Apache-2.0,2020-11-15 22:58:44,2023-06-05 13:53:10,2023-06-05 13:51:53,18.0,6.0,3.0,153.0,2023-06-05 13:53:42,0.0.5,2.0,Streamlit component to render Lottie animations.,4072.0,4072.0,3.0,17,2,,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5ff89ebd92caec4726522fd7_Streamlit-Logo-Animation-1000100.gif,,,,
31,Bokeh Events,https://github.com/ash2shukla/streamlit-bokeh-events,ash2shukla/streamlit-bokeh-events,extension,True,https://github.com/ash2shukla/streamlit-bokeh-events,MIT,2020-07-18 21:27:06,2022-03-20 13:15:12,2022-03-20 13:15:12,27.0,6.0,6.0,149.0,,,,A streamlit component for bi-directional communication with bokeh plots.,723.0,723.0,4.0,15,3,32.0,https://github.com/ash2shukla/streamlit-bokeh-events/raw/master/assets/plots.gif,,,,
32,Year on Github,http://gh2020.jrieke.com/,jrieke/year-on-github,non-ml,True,https://github.com/jrieke/year-on-github,MIT,2020-12-20 16:18:16,2022-01-05 22:25:39,2022-01-05 22:25:36,7.0,,1.0,132.0,,,,Share your Github stats for 2020 on Twitter.,,,2.0,7,3,,https://github.com/jrieke/year-on-github/raw/main/images/demo.gif,,,,
33,Terran Timeline,https://github.com/pento-group/streamlit-terran-timeline/,pento-group/streamlit-terran-timeline,extension,True,https://github.com/pentoai/streamlit-terran-timeline,MIT,2020-08-05 14:54:15,2020-08-26 17:04:21,2020-08-26 17:04:20,11.0,3.0,1.0,121.0,,,,Using Terran for creating video timelines.,16.0,16.0,,11,3,24.0,https://raw.githubusercontent.com/pento-group/streamlit-terran-timeline/master/resources/animation.gif,,,,pentoai/streamlit-terran-timeline
34,Torchserve Dashboard,https://github.com/cceyda/torchserve-dashboard,cceyda/torchserve-dashboard,ml,True,https://github.com/cceyda/torchserve-dashboard,,2020-09-29 08:49:32,2023-01-31 09:55:36,2023-01-31 09:55:35,9.0,6.0,4.0,120.0,2022-08-01 12:55:40,0.6.0,11.0,Management Dashboard for Torchserve.,,,3.0,8,3,,https://github.com/cceyda/torchserve-dashboard/raw/master/assets/dashboard_demo.gif,,,,
35,Finance Chart,https://streamlit-finance-chart.herokuapp.com/,paduel/streamlit_finance_chart,business,True,https://github.com/paduel/streamlit_finance_chart,GPL-3.0,2019-10-21 18:27:09,2022-07-06 20:19:53,2019-10-22 16:58:45,42.0,,1.0,118.0,,,,This app is a simple example of using Strealit to create a financial data web app.,,,,9,2,24.0,https://raw.githubusercontent.com/paduel/streamlit_finance_chart/master/sample.gif,,,,
36,Style transfer web app,https://github.com/amalshaji/style-transfer,amalshaji/style-transfer,cv,True,https://github.com/amalshaji/style-transfer,,2020-08-30 08:18:37,2024-01-12 17:57:32,2021-12-11 14:50:00,32.0,2.0,,116.0,,,,style transfer web app [FastAPI + streamlit + Docker].,,,4.0,7,2,19.0,,,,,
37,Timeline,https://www.innerdoc.com/nlp-timeline-demo/,innerdoc/streamlit-timeline,extension,True,https://github.com/innerdoc/streamlit-timeline,MIT,2021-02-10 08:06:30,2021-02-10 09:52:31,2021-02-10 09:52:21,13.0,3.0,2.0,112.0,,,,A simple Streamlit Component to display a Timeline in Streamlit apps. It integrates Knightlab's TimelineJS.,155.0,155.0,2.0,10,3,,https://github.com/innerdoc/streamlit-timeline/raw/main/example.png,,,,
38,Project Code,https://share.streamlit.io/gagan3012/project-code-py/app.py,gagan3012/project-code-py,non-ml,True,https://github.com/gagan3012/project-code-py,MIT,2021-03-03 14:11:33,2021-10-15 18:29:22,2021-10-15 18:29:22,20.0,5.0,2.0,105.0,,,,Leetcode using AI.,,,,9,2,105.0,https://user-images.githubusercontent.com/49101362/110356042-e69e4780-804a-11eb-94c6-a47fa3cd66b3.png,,,,
39,Object detection app,https://github.com/robmarkcole/object-detection-app,robmarkcole/object-detection-app,cv,True,https://github.com/robmarkcole/object-detection-app,Apache-2.0,2019-12-23 08:24:15,2021-10-12 23:11:10,2019-12-23 15:30:59,48.0,2.0,,97.0,2019-12-23 15:34:56,0.3,3.0,Simple object detection app with streamlit.,,,,10,2,14.0,https://github.com/robmarkcole/object-detection-app/raw/master/images/usage.jpg,,,,
40,Containerized App,https://github.com/collinprather/streamlit-docker,collinprather/streamlit-docker,non-ml,True,https://github.com/collinprather/streamlit-docker,,2020-02-24 22:23:24,2022-06-22 01:14:30,2021-05-01 23:39:18,29.0,,2.0,92.0,,,,Bare bones use-case for deploying a containerized web app (built in streamlit) on AWS.,,,,7,3,8.0,https://github.com/collinprather/streamlit-docker/raw/master/images/app.gif,,,,
41,Observable,https://streamlit-observable.herokuapp.com/,asg017/streamlit-observable,extension,True,https://github.com/asg017/streamlit-observable,MIT,2020-07-23 07:56:48,2022-07-16 09:29:39,2020-10-15 02:21:37,16.0,4.0,1.0,87.0,,,,Embed Observable notebooks into Streamlit apps!.,35.0,35.0,6.0,11,3,22.0,,,,,
42,Vega-Lite,https://github.com/domoritz/streamlit-vega-lite,domoritz/streamlit-vega-lite,extension,True,https://github.com/domoritz/streamlit-vega-lite,MIT,2020-09-02 16:53:49,2021-04-29 23:14:38,2021-04-29 23:14:38,5.0,8.0,8.0,86.0,,,,"A Streamlit component to render interactive Vega, Vega-Lite, and Altair visualizations and access the selected data..",53.0,53.0,4.0,12,3,37.0,https://github.com/domoritz/streamlit-vega-lite/raw/master/demo.gif,,,,
43,COCO Explorer,https://github.com/i008/COCO-dataset-explorer,i008/COCO-dataset-explorer,cv,True,https://github.com/i008/COCO-dataset-explorer,,2020-04-23 09:02:23,2022-04-13 19:06:39,2022-03-18 12:06:01,14.0,5.0,6.0,85.0,,,,Streamlit tool to explore coco datasets.,,,3.0,7,2,62.0,https://github.com/i008/COCO-dataset-explorer/raw/master/static/demo1.png,,,,
44,Player,https://share.streamlit.io/okld/streamlit-player-demo/main/app.py,okld/streamlit-player,extension,True,https://github.com/okld/streamlit-player,MIT,2020-12-10 17:02:22,2021-05-24 22:44:42,2021-05-24 22:44:22,19.0,6.0,5.0,84.0,,,,A streamlit component to embed video and music players from various websites.,554.0,554.0,,12,3,,https://raw.githubusercontent.com/okld/streamlit-player-demo/main/app.png,,,,
45,Goodreads App,https://share.streamlit.io/tylerjrichards/streamlit_goodreads_app/books.py,tylerjrichards/streamlit_goodreads_app,non-ml,True,https://github.com/tylerjrichards/streamlit_goodreads_app,,2020-09-30 00:46:41,2023-11-14 05:15:33,2023-11-14 05:15:31,102.0,1.0,11.0,79.0,,,,Analyzing Your Goodreads Reading Habits.,,,7.0,8,3,77.0,,,,,
46,Global cities explorer,https://github.com/asehmi/Data-Science-Meetup-Oxford/tree/master/GlobalCities,asehmi/Data-Science-Meetup-Oxford,business,True,https://github.com/asehmi/Data-Science-Meetup-Oxford,,2020-02-26 15:03:04,2022-09-21 08:49:46,2022-09-21 08:49:37,19.0,,2.0,78.0,,,,Content shared at DS-OX Meetup.,,,2.0,6,3,44.0,https://github.com/asehmi/Data-Science-Meetup-Oxford/raw/master/GCFS-streamlit.png,,,,
47,Auth0 with Next.js,https://github.com/asehmi/Data-Science-Meetup-Oxford/tree/master/StreamlitComponent,asehmi/Data-Science-Meetup-Oxford,extension,True,https://github.com/asehmi/Data-Science-Meetup-Oxford,,2020-02-26 15:03:04,2022-09-21 08:49:46,2022-09-21 08:49:37,19.0,,2.0,78.0,,,,Content shared at DS-OX Meetup.,,,2.0,6,3,44.0,https://github.com/asehmi/Data-Science-Meetup-Oxford/blob/master/StreamlitComponent/doc_images/streamlitcomponent_demo.gif,,,,
48,D3 Demo,https://github.com/andfanilo/streamlit-d3-demo,andfanilo/streamlit-d3-demo,extension,True,https://github.com/andfanilo/streamlit-d3-demo,MIT,2020-06-01 00:45:11,2020-07-06 17:09:20,2020-07-06 17:05:51,17.0,1.0,1.0,75.0,,,,D3 in React in Streamlit tech demo.,22.0,22.0,3.0,11,3,26.0,https://github.com/andfanilo/streamlit-d3-demo/raw/master/images/demo.gif,,,,
49,Wildfire Detection,https://github.com/yueureka/WildFireDetection,yueureka/WildFireDetection,cv,True,https://github.com/yueureka/WildFireDetection,CC0-1.0,2020-06-09 03:56:49,2024-02-25 13:27:10,2020-06-20 15:02:55,30.0,,1.0,66.0,,,,Using U-Net Model to Detect Wildfire from Satellite Imagery.,,,5.0,9,2,59.0,https://github.com/yueureka/WildFireDetection/raw/master/Pictures/App2.png,,,,
50,TechSEO Crawler,https://github.com/jroakes/tech-seo-crawler,jroakes/tech-seo-crawler,business,True,https://github.com/jroakes/tech-seo-crawler,MIT,2019-11-14 12:55:35,2023-02-11 01:22:08,2022-09-30 11:50:42,11.0,,,66.0,,,,"Build a small, 3 domain internet using Github pages and Wikipedia and construct a crawler to crawl, render, and index.",,,2.0,8,3,61.0,https://raw.githubusercontent.com/jroakes/tech-seo-crawler/master/etc/images/screenshot.png,,,,
51,Arup Social Data,https://share.streamlit.io/arup-group/eviction-data/run.py,arup-group/social-data,non-ml,True,https://github.com/arup-group/social-data,MIT,2020-08-10 13:42:29,2023-06-07 16:17:00,2023-06-07 16:16:25,30.0,6.0,4.0,65.0,,,,Code and data for eviction and housing analysis in the US.,,,11.0,11,1,252.0,,,,,
52,StockAnalysisApp,https://essential-stock-analysis.herokuapp.com/,antonio-catalano/StockAnalysisApp,business,True,https://github.com/antonio-catalano/StockAnalysisApp,Apache-2.0,2019-10-24 16:05:56,2019-11-13 01:04:19,2019-11-13 01:04:05,26.0,2.0,,63.0,,,,A stock analysis app with streamlit.,,,,10,1,22.0,,,,,
53,Time Series Forecasting,https://autoforecast-prophet.herokuapp.com/,zachrenwick/streamlit_forecasting_app,business,True,https://github.com/zachrenwick/streamlit_forecasting_app,MIT,2020-05-18 22:15:36,2024-01-12 17:47:56,2022-10-21 23:11:14,30.0,1.0,2.0,62.0,,,,This MVP data web app uses the Streamlit framework and Facebook's Prophet forecasting package to generate a dynamic..,,,3.0,10,1,36.0,https://github.com/zachrenwick/streamlit_forecasting_app/raw/master/images/screenshot2.jpg,,,,
54,Gravitational Wave App,https://share.streamlit.io/jkanner/streamlit-dataview/app.py,jkanner/streamlit-dataview,sci-tech,True,https://github.com/jkanner/streamlit-dataview,,2020-07-22 21:10:35,2024-03-19 15:59:22,2024-03-19 15:59:22,149.0,1.0,12.0,61.0,,,,Streamlit viewer for GW data.,,,5.0,10,1,76.0,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fe3b32bb3d503528eac8707_image.jpg,,,,
55,Embedcode,https://share.streamlit.io/randyzwitch/streamlit-embedcode/examples/streamlit_app.py,randyzwitch/streamlit-embedcode,extension,True,https://github.com/randyzwitch/streamlit-embedcode,MIT,2020-06-30 16:21:26,2021-05-17 19:02:53,2021-05-17 18:58:59,10.0,1.0,2.0,57.0,2021-05-17 19:02:53,0.1.2,5.0,"Streamlit component for embedding code snippets such as GitHub gists, CodePen snippets, Gitlab snippets, etc.",2136.0,2136.0,2.0,15,3,26.0,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f033ac45f3ead8fc901f3ac_gh_gist_example.png,,11.0,0.0,
56,Genetic Ancestry,http://ezancestry.herokuapp.com/,arvkevi/ezancestry,sci-tech,True,https://github.com/arvkevi/ezancestry,MIT,2020-05-11 00:45:27,2024-05-07 09:52:16,2024-05-07 09:52:12,10.0,5.0,13.0,56.0,2024-02-22 03:09:56,0.1.0,8.0,Easy genetic ancestry predictions in Python.,1.0,1.0,3.0,12,1,,https://github.com/arvkevi/ezancestry/raw/master/images/ezancestry.png,,,,
57,FarolCovid,https://farolcovid.coronacidades.org/,ImpulsoGov/farolcovid,sci-tech,True,https://github.com/ImpulsoGov/farolcovid,MIT,2020-04-01 20:48:15,2023-07-06 21:47:58,2022-06-23 18:16:11,17.0,11.0,36.0,55.0,,,,. Ferramenta de monitoramento do risco de colapso no sistema de sade em municpios brasileiros com a Covid-19..,,,19.0,10,1,1063.0,,,,,
58,Raylab,https://github.com/angelolovatto/raylab,angelolovatto/raylab,ml,True,https://github.com/0xangelo/raylab,MIT,2019-09-12 13:50:53,2024-05-03 20:24:54,2023-12-04 15:10:35,10.0,1.0,4.0,54.0,,,1.0,Reinforcement learning algorithms in RLlib.,2.0,2.0,7.0,12,1,2657.0,https://camo.githubusercontent.com/cec5409c95fcb5523288931681b52e607ff466407efb27820636d031042afb05/68747470733a2f2f692e696d6775722e636f6d2f625663365743352e706e67,,,,0xangelo/raylab
59,MiniClip,https://ganpaint.io/miniclip/,HendrikStrobelt/miniClip,cv,True,https://github.com/HendrikStrobelt/miniClip,Apache-2.0,2021-03-06 16:04:44,2021-03-08 11:43:23,2021-03-08 11:43:23,5.0,3.0,,46.0,,,,A quick demo to explore text descriptions and saliency maps for Clip models.,,,2.0,7,2,,https://raw.githubusercontent.com/HendrikStrobelt/miniClip/main/assets/miniclip_teaser.jpg?token=AAHIFTT5T6SXWBJMICS2OM3AJ44CA,,,,
